epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.073,5.24617,4.80675,4.19509,0.00039,0.05131,0.00036,0.00011,5.54732,5.13888,4.17614,0.000360046,0.000360046,0.000360046
2,215.319,4.07875,3.43508,3.71761,0.00036,0.05118,0.00024,8e-05,5.66067,5.29973,4.32348,0.000723149,0.000723149,0.000723149
3,334.506,3.35122,2.74868,3.12967,0.73314,0.03585,0.02444,0.00738,4.10935,3.68589,3.52368,0.00107892,0.00107892,0.00107892
4,457.608,2.99818,2.46468,2.75645,0.47924,0.08955,0.06064,0.01861,2.98796,4.47216,2.85193,0.001078,0.001078,0.001078
5,682.022,2.78978,2.22392,2.52871,0.56709,0.20916,0.15784,0.04356,2.88625,2.53457,2.64977,0.001067,0.001067,0.001067
6,957.834,2.6358,2.07983,2.41404,0.55688,0.25593,0.19032,0.05246,2.70592,2.42182,2.56351,0.00105601,0.00105601,0.00105601
7,1230.34,2.4762,1.93938,2.29539,0.61494,0.27385,0.23476,0.0881,2.33017,2.17977,2.2905,0.00104501,0.00104501,0.00104501
8,1566.33,2.37664,1.86019,2.19096,0.73261,0.31801,0.34093,0.13079,2.27703,2.10948,2.23024,0.00103401,0.00103401,0.00103401
9,1862.42,2.31273,1.79538,2.12645,0.70866,0.27725,0.31336,0.12603,2.18725,1.85993,2.1467,0.00102301,0.00102301,0.00102301
10,2207.12,2.2184,1.70258,2.06387,0.73397,0.36238,0.35306,0.14421,2.09826,1.91418,2.04065,0.00101201,0.00101201,0.00101201
11,2548.61,2.19078,1.62149,1.98448,0.74251,0.35423,0.37716,0.14802,2.10396,1.8194,2.04721,0.00100101,0.00100101,0.00100101
12,2918.88,2.17884,1.64326,1.9783,0.55803,0.37508,0.40438,0.18989,2.02489,1.69433,1.98039,0.000990012,0.000990012,0.000990012
13,3277.39,2.12476,1.59156,1.89559,0.70519,0.37346,0.40491,0.16765,2.0375,1.74557,1.97811,0.000979013,0.000979013,0.000979013
14,3647.8,2.08665,1.57368,1.90073,0.79086,0.37925,0.4379,0.19093,1.96148,1.66022,1.87833,0.000968014,0.000968014,0.000968014
15,3989.25,2.0441,1.54167,1.8575,0.81475,0.37346,0.44166,0.18883,1.93179,1.70314,1.86618,0.000957015,0.000957015,0.000957015
16,4359.48,2.07514,1.53785,1.82902,0.51278,0.44803,0.45613,0.20213,1.93385,1.65845,1.84635,0.000946016,0.000946016,0.000946016
17,4708.43,1.99668,1.46165,1.79836,0.68179,0.44691,0.46062,0.20991,1.87578,1.52282,1.82724,0.000935018,0.000935018,0.000935018
18,5016.24,1.99295,1.4605,1.76378,0.51781,0.39666,0.4679,0.21834,1.89027,1.61405,1.82743,0.000924019,0.000924019,0.000924019
19,5117.22,1.9569,1.43456,1.75678,0.60503,0.44365,0.46622,0.2092,1.8915,1.60918,1.81124,0.00091302,0.00091302,0.00091302
20,5219.1,1.92246,1.40354,1.72499,0.59896,0.47882,0.50093,0.23012,1.90749,1.42157,1.79552,0.000902021,0.000902021,0.000902021
21,5322.17,1.92806,1.39678,1.70764,0.55936,0.4901,0.50174,0.23546,1.80133,1.44967,1.71635,0.000891022,0.000891022,0.000891022
22,5425.66,1.92697,1.39037,1.7119,0.58451,0.44792,0.46918,0.19445,1.98015,1.45867,1.81982,0.000880023,0.000880023,0.000880023
23,5528.33,1.91383,1.37436,1.69552,0.62475,0.47898,0.5486,0.2611,1.77409,1.3812,1.70198,0.000869024,0.000869024,0.000869024
24,5631.82,1.89719,1.34545,1.64782,0.69378,0.5425,0.56838,0.27755,1.74098,1.38465,1.66803,0.000858025,0.000858025,0.000858025
25,5734.73,1.83833,1.29226,1.63792,0.57559,0.41874,0.44913,0.18691,1.91592,1.49728,1.7635,0.000847026,0.000847026,0.000847026
26,5837.79,1.8345,1.31791,1.62745,0.65956,0.53312,0.60308,0.29491,1.71129,1.34163,1.64108,0.000836027,0.000836027,0.000836027
27,5941.73,1.87086,1.31054,1.64599,0.58875,0.5489,0.55804,0.27698,1.74166,1.34339,1.631,0.000825029,0.000825029,0.000825029
28,6046.85,1.84721,1.28828,1.61687,0.72773,0.53742,0.60155,0.28978,1.76418,1.29522,1.64657,0.00081403,0.00081403,0.00081403
29,6150.3,1.79805,1.22017,1.59087,0.79357,0.51743,0.62616,0.31811,1.66142,1.21175,1.57697,0.000803031,0.000803031,0.000803031
